name,meal_type,diet_type,calories,protein,fats,carbs,fiber,sugar,iron,sodium,cholesterol,recipe_link
Skinny Green Monster Smoothie,breakfast,gluten free,286.46,17.65,11.36,33.16,5.28,17.71,2.24,396.8,5.0,https://spoonacular.com/recipes/Skinny-Green-Monster-Smoothie-660227
Chilled Swiss Oatmeal,breakfast,"gluten free, lacto ovo vegetarian",522.59,17.16,13.65,89.78,9.92,57.04,1.97,151.13,18.26,https://spoonacular.com/recipes/Chilled-Swiss-Oatmeal-638604
Poached Egg With Spinach and Tomato,breakfast,"dairy free, lacto ovo vegetarian",314.02,14.59,19.99,21.97,6.24,3.77,6.4,521.41,163.68,https://spoonacular.com/recipes/Poached-Egg-With-Spinach-and-Tomato-656481
Salmon Frittata,breakfast,"gluten free, primal, pescatarian",624.99,65.68,34.34,12.78,2.18,3.15,4.79,1103.92,620.09,https://spoonacular.com/recipes/Salmon-Frittata-659081
Protein Strawberry Smoothie,breakfast,gluten free,387.73,34.14,3.67,58.53,7.7,42.71,1.6,286.36,15.0,https://spoonacular.com/recipes/Protein-Strawberry-Smoothie-644044
Swiss Bircher Muesli,breakfast,lacto ovo vegetarian,363.34,11.56,7.05,72.16,7.47,46.25,3.98,185.96,17.64,https://spoonacular.com/recipes/Swiss-Bircher-Muesli-662665
Green Monster Smoothie Popsicles,breakfast,gluten free,435.61,15.9,24.02,47.03,7.14,26.16,2.59,567.39,15.93,https://spoonacular.com/recipes/Green-Monster-Smoothie-Popsicles-1681373
"Turkey Sausage, Chard & Sweet Potato Breakfast Scramble",breakfast,"gluten free, dairy free, paleolithic, primal, whole 30",571.94,34.1,39.7,19.87,4.41,6.81,5.05,876.48,552.28,"https://spoonacular.com/recipes/Turkey-Sausage,-Chard-&-Sweet-Potato-Breakfast-Scramble-664054"
Healthy Southwestern Oatmeal,breakfast,"gluten free, lacto ovo vegetarian",440.15,26.45,23.33,31.61,5.07,1.66,2.4,708.46,60.0,https://spoonacular.com/recipes/Healthy-Southwestern-Oatmeal-646515
Yogurt Parfait,breakfast,lacto ovo vegetarian,554.16,21.86,11.56,94.62,5.19,61.84,3.38,215.85,4.9,https://spoonacular.com/recipes/Yogurt-Parfait-796873
Chicken Porridge,breakfast,"gluten free, dairy free",393.05,27.74,6.53,53.46,2.12,7.27,2.03,826.49,57.0,https://spoonacular.com/recipes/Chicken-Porridge-638257
Chocolate Peanut Butter Cinnamon Smoothie,breakfast,"gluten free, fodmap friendly",368.7,19.88,16.37,42.67,8.15,23.27,0.32,428.33,55.05,https://spoonacular.com/recipes/Chocolate-Peanut-Butter-Cinnamon-Smoothie-780016
Bread Omlette,breakfast,lacto ovo vegetarian,824.68,44.6,30.27,90.4,4.86,19.08,8.3,1133.2,684.0,https://spoonacular.com/recipes/Bread-Omlette-635964
Honey Nut Raspberry Baked Oatmeal,breakfast,"gluten free, dairy free",249.79,7.15,7.37,41.07,5.72,18.33,2.03,23.03,0.0,https://spoonacular.com/recipes/Honey-Nut-Raspberry-Baked-Oatmeal-647261
"Open-Face Egg Sandwich with Bacon, Asparagus, and Pesto",breakfast,unknown,654.2,26.72,41.71,47.26,6.41,7.65,8.66,1252.54,196.97,"https://spoonacular.com/recipes/Open-Face-Egg-Sandwich-with-Bacon,-Asparagus,-and-Pesto-653775"
Strawberry Shortcake Pancakes,breakfast,lacto ovo vegetarian,424.94,19.22,6.77,69.22,8.99,36.79,10.17,467.45,20.7,https://spoonacular.com/recipes/Strawberry-Shortcake-Pancakes-661886
TROPICAL BANANA GREEN SMOOTHIE,breakfast,"gluten free, dairy free",214.51,28.45,2.76,23.34,5.13,14.08,3.54,318.57,50.0,https://spoonacular.com/recipes/TROPICAL-BANANA-GREEN-SMOOTHIE-663845
Sun-Dried Tomato and Leek Quiche,breakfast,dairy free,681.21,20.11,42.81,59.87,8.63,6.74,6.16,958.06,0.0,https://spoonacular.com/recipes/Sun-Dried-Tomato-and-Leek-Quiche-662291
Scrambled tofu with rocket,breakfast,"gluten free, dairy free, lacto ovo vegetarian, vegan",236.51,16.63,11.98,18.93,4.83,8.85,3.93,219.56,0.0,https://spoonacular.com/recipes/Scrambled-tofu-with-rocket-659604
Pumpkin Pie Smoothie,breakfast,gluten free,170.28,10.22,4.83,23.96,4.14,16.21,1.84,75.64,30.02,https://spoonacular.com/recipes/Pumpkin-Pie-Smoothie-657359
"Cheesy Frittata with Spinach, Asparagus and Mushrooms",breakfast,"gluten free, primal, ketogenic",416.23,27.52,29.47,12.76,3.6,4.7,5.01,798.54,272.94,"https://spoonacular.com/recipes/Cheesy-Frittata-with-Spinach,-Asparagus-and-Mushrooms-1096276"
Asparagus Eggs Benedict,breakfast,unknown,779.55,34.72,57.46,30.62,2.77,1.8,4.67,1618.62,763.46,https://spoonacular.com/recipes/Asparagus-Eggs-Benedict-632928
Roasted Plum Oatmeal,breakfast,"gluten free, dairy free, lacto ovo vegetarian, vegan",583.22,18.19,42.57,40.29,11.57,12.8,3.73,6.91,0.0,https://spoonacular.com/recipes/Roasted-Plum-Oatmeal-658624
Roasted Asparagus Frittata,breakfast,"gluten free, primal, ketogenic",390.23,19.3,29.58,15.73,6.48,7.85,7.03,800.17,347.71,https://spoonacular.com/recipes/Roasted-Asparagus-Frittata-1096202
Frittata,breakfast,gluten free,582.12,32.44,42.68,19.73,4.57,11.51,3.97,584.53,537.08,https://spoonacular.com/recipes/Frittata-643857
Four-Berry Blast Fruit Smoothie,breakfast,"gluten free, lacto ovo vegetarian",260.63,11.71,11.1,29.99,2.76,26.75,0.35,128.78,40.26,https://spoonacular.com/recipes/Four-Berry-Blast-Fruit-Smoothie-643241
Fresh Cherry Scones,breakfast,"gluten free, lacto ovo vegetarian",335.6,9.12,9.82,53.72,5.55,11.96,2.65,332.42,1.0,https://spoonacular.com/recipes/Fresh-Cherry-Scones-643450
Meyer Lemon Ricotta Pancakes with Blackberry Compote,breakfast,lacto ovo vegetarian,616.06,29.55,28.24,61.4,5.87,17.29,4.52,265.76,352.99,https://spoonacular.com/recipes/Meyer-Lemon-Ricotta-Pancakes-with-Blackberry-Compote-651765
Mixed Berry Yogurt with Almonds,breakfast,"gluten free, lacto ovo vegetarian",335.77,26.05,8.04,42.07,7.48,20.27,1.65,74.87,10.0,https://spoonacular.com/recipes/Mixed-Berry-Yogurt-with-Almonds-652111
"Blueberry, Persimmon Smoothie with Banana and Peanut Butter",breakfast,"gluten free, dairy free, lacto ovo vegetarian, vegan",419.86,6.32,9.3,88.24,4.28,17.69,4.84,71.7,0.0,"https://spoonacular.com/recipes/Blueberry,-Persimmon-Smoothie-with-Banana-and-Peanut-Butter-1096178"
Pumpkin French Toast,breakfast,lacto ovo vegetarian,425.15,15.92,9.12,69.98,4.56,31.2,4.4,478.26,167.34,https://spoonacular.com/recipes/Pumpkin-French-Toast-657306
Fluffy frittata with spinach,breakfast,"gluten free, primal, ketogenic",281.89,19.97,20.28,5.43,1.96,0.97,3.43,483.86,348.84,https://spoonacular.com/recipes/Fluffy-frittata-with-spinach-643150
Applesauce Carrot Cake Muffins,breakfast,"dairy free, lacto ovo vegetarian",271.21,8.06,3.77,53.66,6.59,14.76,2.52,216.6,13.64,https://spoonacular.com/recipes/Applesauce-Carrot-Cake-Muffins-632639
Pomegranates Oats Smoothie,breakfast,"gluten free, lacto ovo vegetarian",356.69,11.61,9.13,61.72,8.95,39.59,1.47,84.67,22.92,https://spoonacular.com/recipes/Pomegranates-Oats-Smoothie-1681445
Simple Spinach and Tomato Frittata,breakfast,unknown,162.82,13.45,8.66,8.38,1.73,4.2,3.38,190.25,327.36,https://spoonacular.com/recipes/Simple-Spinach-and-Tomato-Frittata-769775
Chocolatey Overnight Oats with Strawberries,breakfast,gluten free,216.67,15.29,5.41,30.45,7.27,12.31,2.32,150.62,5.0,https://spoonacular.com/recipes/Chocolatey-Overnight-Oats-with-Strawberries-639303
Cocoa Protein Pancakes,breakfast,"gluten free, lacto ovo vegetarian",410.63,25.81,13.78,46.39,5.02,15.48,3.32,429.23,263.37,https://spoonacular.com/recipes/Cocoa-Protein-Pancakes-157259
Mangosteen Avocado Yogurt Parfait,breakfast,"gluten free, lacto ovo vegetarian",728.35,14.68,53.82,58.17,18.83,36.41,3.5,114.51,22.73,https://spoonacular.com/recipes/Mangosteen-Avocado-Yogurt-Parfait-650860
Strawberry Cheesecake Chocolate Crepes,breakfast,lacto ovo vegetarian,618.39,16.47,37.95,55.54,4.16,14.57,3.76,331.57,219.71,https://spoonacular.com/recipes/Strawberry-Cheesecake-Chocolate-Crepes-715569
Leek And Pea Frittata,breakfast,"gluten free, primal",260.53,17.29,14.12,16.33,3.85,6.09,4.5,452.98,341.95,https://spoonacular.com/recipes/Leek-And-Pea-Frittata-1096166
Cranberry-Ginger Oatmeal With Toasted Hazelnuts,breakfast,"gluten free, dairy free, lacto ovo vegetarian, fodmap friendly, vegan",381.92,10.38,21.23,42.77,10.91,4.18,3.62,2345.04,0.0,https://spoonacular.com/recipes/Cranberry-Ginger-Oatmeal-With-Toasted-Hazelnuts-640443
Chocolate Overnight Oats & Berries,breakfast,gluten free,365.09,19.36,8.9,58.01,13.1,25.95,3.21,163.21,6.55,https://spoonacular.com/recipes/Chocolate-Overnight-Oats-&-Berries-639131
Cherry Coconut Milk Smoothie,breakfast,"gluten free, dairy free, paleolithic, lacto ovo vegetarian, primal, vegan",305.09,4.12,17.36,38.07,4.76,25.11,3.43,33.51,0.0,https://spoonacular.com/recipes/Cherry-Coconut-Milk-Smoothie-794350
Awesome Antioxidant Smoothie,breakfast,gluten free,257.98,16.14,10.32,28.08,8.76,17.27,1.16,371.57,5.67,https://spoonacular.com/recipes/Awesome-Antioxidant-Smoothie-511692
Peanut Butter Banana Smoothie,breakfast,"gluten free, dairy free, lacto ovo vegetarian, vegan",366.68,9.98,17.51,52.69,8.13,31.16,1.77,154.56,0.0,https://spoonacular.com/recipes/Peanut-Butter-Banana-Smoothie-1497523
Mushroom Crepes with Vegetarian Sauce,breakfast,lacto ovo vegetarian,184.39,7.11,6.4,24.45,3.68,1.73,1.93,251.19,45.95,https://spoonacular.com/recipes/Mushroom-Crepes-with-Vegetarian-Sauce-652651
Country Breakfast: Tofu and Veggie Scramble With Home Fries,breakfast,"gluten free, dairy free, lacto ovo vegetarian, vegan",493.06,29.75,34.42,20.32,6.79,5.02,6.89,1769.95,0.0,https://spoonacular.com/recipes/Country-Breakfast:-Tofu-and-Veggie-Scramble-With-Home-Fries-640194
Strawberry Shortcake w. Mini Strawberry PopTarts,breakfast,unknown,306.38,3.56,12.79,45.17,3.56,17.01,1.68,192.47,4.24,https://spoonacular.com/recipes/Strawberry-Shortcake-w.-Mini-Strawberry-PopTarts-716417
Salmon and Broccoli Crepes,breakfast,pescatarian,208.28,16.74,8.54,17.65,3.48,2.33,1.76,131.03,43.65,https://spoonacular.com/recipes/Salmon-and-Broccoli-Crepes-659037
Peanut Butter Banana French Toast,breakfast,"dairy free, lacto ovo vegetarian",539.55,20.4,23.93,66.72,7.46,25.01,3.78,466.42,163.68,https://spoonacular.com/recipes/Peanut-Butter-Banana-French-Toast-655239
Greek Inspired Spring Omelet,breakfast,"gluten free, lacto ovo vegetarian, primal",133.43,13.55,5.94,7.28,1.64,3.81,1.76,606.45,17.63,https://spoonacular.com/recipes/Greek-Inspired-Spring-Omelet-645315
5 Ingredient High Protein Pumpkin Pancakes,breakfast,"gluten free, lacto ovo vegetarian",351.14,18.2,9.67,48.45,5.93,16.2,3.57,259.2,173.88,https://spoonacular.com/recipes/5-Ingredient-High-Protein-Pumpkin-Pancakes-157089
Pittata - Pizza Frittata,breakfast,"gluten free, primal, ketogenic",598.16,41.6,43.2,8.53,0.0,3.76,3.71,1328.36,726.36,https://spoonacular.com/recipes/Pittata---Pizza-Frittata-622598
Persimmons Pumpkin Orange Smoothie With Chia Seeds,breakfast,"gluten free, dairy free, paleolithic, lacto ovo vegetarian, primal",709.03,8.21,52.71,64.3,8.26,17.47,6.99,33.13,0.0,https://spoonacular.com/recipes/Persimmons-Pumpkin-Orange-Smoothie-With-Chia-Seeds-655786
Mango-Berry Swirled Smoothies,breakfast,"gluten free, dairy free, paleolithic, lacto ovo vegetarian, primal, vegan",135.07,1.56,0.83,33.37,3.36,28.73,0.51,7.52,0.0,https://spoonacular.com/recipes/Mango-Berry-Swirled-Smoothies-650844
Chicken and Leek Porridge,breakfast,"gluten free, dairy free",202.07,13.09,6.92,23.05,2.12,3.37,1.55,305.56,19.29,https://spoonacular.com/recipes/Chicken-and-Leek-Porridge-637904
Best Breakfast Burrito,breakfast,unknown,959.68,31.48,49.61,98.02,9.97,7.61,7.11,1330.26,65.14,https://spoonacular.com/recipes/Best-Breakfast-Burrito-634882
Iron - Rich Gluten Free Vegan Muffins,breakfast,"gluten free, dairy free, lacto ovo vegetarian, vegan",217.83,4.43,7.52,34.71,4.07,11.73,1.34,112.12,0.0,https://spoonacular.com/recipes/Iron---Rich-Gluten-Free-Vegan-Muffins-648013
Homemade Apple Almond Granola Bars,breakfast,unknown,208.99,6.49,8.23,31.02,5.23,13.38,1.74,195.07,14.25,https://spoonacular.com/recipes/Homemade-Apple-Almond-Granola-Bars-646906
Vegan Banana Nut Muffins,breakfast,"dairy free, lacto ovo vegetarian, vegan",218.37,4.38,1.14,49.58,3.85,19.65,1.46,133.42,0.0,https://spoonacular.com/recipes/Vegan-Banana-Nut-Muffins-664392
Orange Marmalade Muffins,breakfast,lacto ovo vegetarian,193.49,4.73,6.52,33.81,4.61,18.57,1.37,141.49,0.31,https://spoonacular.com/recipes/Orange-Marmalade-Muffins-653910
Delicious RAW Macadamia Zucchini GREEN Smoothie,breakfast,"gluten free, dairy free",81.26,1.07,5.43,8.43,1.59,5.46,0.39,51.14,0.0,https://spoonacular.com/recipes/Delicious-RAW-Macadamia-Zucchini-GREEN-Smoothie-641411
Vanilla Bean Cherry Granola Bars,breakfast,"gluten free, dairy free",473.92,12.28,22.57,58.82,8.99,14.93,3.42,80.94,0.66,https://spoonacular.com/recipes/Vanilla-Bean-Cherry-Granola-Bars-664280
Luscious Orange Cardamom Smoothie,breakfast,"gluten free, dairy free, paleolithic, lacto ovo vegetarian, primal, vegan",133.08,1.73,0.52,33.39,3.21,19.6,0.44,1.81,0.0,https://spoonacular.com/recipes/Luscious-Orange-Cardamom-Smoothie-650485
Beet Greens and Poached Eggs,breakfast,"gluten free, primal",186.44,10.3,13.17,8.29,3.29,1.6,3.4,339.85,189.4,https://spoonacular.com/recipes/Beet-Greens-and-Poached-Eggs-634781
Black Muffins,breakfast,lacto ovo vegetarian,279.57,5.02,9.72,46.69,3.62,22.42,2.52,514.68,0.61,https://spoonacular.com/recipes/Black-Muffins-635129
Barbecued Shrimp & Grits,breakfast,gluten free,613.32,35.85,31.07,45.66,1.2,1.07,1.22,1405.36,258.36,https://spoonacular.com/recipes/Barbecued-Shrimp-&-Grits-634318
Baked Pumpkin Chocolate Chip Pancakes,breakfast,"gluten free, lacto ovo vegetarian",178.18,2.69,9.1,24.2,3.33,7.48,2.49,47.02,0.01,https://spoonacular.com/recipes/Baked-Pumpkin-Chocolate-Chip-Pancakes-633751
Chocolate Oatmeal,breakfast,"gluten free, lacto ovo vegetarian",193.94,6.07,3.74,37.58,5.06,14.34,2.05,19.88,3.66,https://spoonacular.com/recipes/Chocolate-Oatmeal-639120
Glutinous Rice Poppy Muffins,breakfast,"gluten free, lacto ovo vegetarian",252.47,6.85,11.43,32.17,4.47,8.58,2.42,77.94,24.4,https://spoonacular.com/recipes/Glutinous-Rice-Poppy-Muffins-644914
Loaded Veggie Omelet,breakfast,"gluten free, primal, ketogenic",399.09,20.21,32.24,8.25,1.49,3.94,2.74,327.2,355.61,https://spoonacular.com/recipes/Loaded-Veggie-Omelet-650239
Irish Brown Soda Bread,breakfast,lacto ovo vegetarian,182.58,6.85,2.43,34.11,2.9,2.11,1.86,333.06,18.04,https://spoonacular.com/recipes/Irish-Brown-Soda-Bread-1095888
Sausage and Egg Breakfast Burrito,breakfast,unknown,713.66,27.05,54.61,28.92,4.33,6.95,4.31,2384.4,302.71,https://spoonacular.com/recipes/Sausage-and-Egg-Breakfast-Burrito-1096058
Healthier Cinnamon Crunch Sweet Potato Muffins,breakfast,lacto ovo vegetarian,171.49,5.22,6.09,26.12,3.82,6.38,1.32,208.34,41.41,https://spoonacular.com/recipes/Healthier-Cinnamon-Crunch-Sweet-Potato-Muffins-646422
Apple Pie Smoothie,breakfast,lacto ovo vegetarian,238.43,7.23,7.58,38.2,3.49,31.09,0.71,65.25,8.55,https://spoonacular.com/recipes/Apple-Pie-Smoothie-632575
Broccoli Oatmeal Breakfast Casserole,breakfast,"gluten free, lacto ovo vegetarian",271.22,13.22,11.31,31.61,4.76,1.92,3.3,767.83,186.56,https://spoonacular.com/recipes/Broccoli-Oatmeal-Breakfast-Casserole-636199
PB and J Overnight Oatmeal,breakfast,"gluten free, dairy free",474.22,15.42,27.5,49.29,8.46,21.16,2.94,304.21,0.0,https://spoonacular.com/recipes/PB-and-J-Overnight-Oatmeal-673464
Mushroom Crepes,breakfast,"dairy free, lacto ovo vegetarian, vegan",186.18,7.23,1.21,24.45,4.46,6.71,1.66,661.96,0.0,https://spoonacular.com/recipes/Mushroom-Crepes-652652
"Frittata with Mushrooms, Thyme, and Parmigiano Cheese",breakfast,gluten free,189.6,20.51,8.02,8.72,1.01,6.91,1.87,524.74,229.38,"https://spoonacular.com/recipes/Frittata-with-Mushrooms,-Thyme,-and-Parmigiano-Cheese-643859"
Peach Carrot Coconut Vegan Pancake,breakfast,dairy free,451.86,9.38,13.37,78.26,8.73,29.64,2.99,686.55,0.0,https://spoonacular.com/recipes/Peach-Carrot-Coconut-Vegan-Pancake-716269
Asparagus Parmesan Frittata,breakfast,"gluten free, primal",237.29,14.78,15.06,12.23,4.41,5.87,5.14,310.5,280.7,https://spoonacular.com/recipes/Asparagus-Parmesan-Frittata-632946
French Inspired Poblano Crepe ‘Enchiladas’,breakfast,lacto ovo vegetarian,274.77,9.07,11.05,36.12,3.89,6.26,2.68,467.04,96.66,https://spoonacular.com/recipes/French-Inspired-Poblano-Crepe-‘Enchiladas’-643347
Raspberry White Peach Smoothie,breakfast,"gluten free, lacto ovo vegetarian",249.85,10.3,6.59,40.13,4.2,35.51,0.74,100.21,23.21,https://spoonacular.com/recipes/Raspberry-White-Peach-Smoothie-657916
Dad’s Breakfast Polenta,breakfast,gluten free,357.55,13.47,13.74,44.93,2.84,6.93,1.53,715.86,29.01,https://spoonacular.com/recipes/Dad’s-Breakfast-Polenta-641185
Rosemary Rum Raisin Soda Bread with Pecans,breakfast,lacto ovo vegetarian,173.48,4.85,3.61,28.95,2.66,2.42,1.5,295.09,3.1,https://spoonacular.com/recipes/Rosemary-Rum-Raisin-Soda-Bread-with-Pecans-658803
Sweet Potato Hashbrown Breakfast Bake,breakfast,"gluten free, lacto ovo vegetarian, primal",332.38,9.71,20.77,27.75,4.47,6.92,1.85,368.14,170.74,https://spoonacular.com/recipes/Sweet-Potato-Hashbrown-Breakfast-Bake-662581
Banana Bread Nice Cream,breakfast,"gluten free, dairy free, paleolithic, lacto ovo vegetarian, primal, fodmap friendly, whole 30, vegan",151.4,2.31,4.87,28.29,3.69,14.58,0.53,1.35,0.0,https://spoonacular.com/recipes/Banana-Bread-Nice-Cream-634004
Spring Onion & Asparagus Frittata,breakfast,"gluten free, dairy free, paleolithic, lacto ovo vegetarian, primal, whole 30",137.95,9.84,8.15,8.02,3.23,4.8,3.08,281.93,218.24,https://spoonacular.com/recipes/Spring-Onion-&-Asparagus-Frittata-661421
Corned Beef Hash with Kale,breakfast,gluten free,402.43,16.78,31.66,13.55,2.66,2.49,2.79,1022.57,231.65,https://spoonacular.com/recipes/Corned-Beef-Hash-with-Kale-640139
Butternut Squash French Toast,breakfast,lacto ovo vegetarian,464.27,15.82,14.54,66.7,4.2,9.62,4.39,517.96,193.17,https://spoonacular.com/recipes/Butternut-Squash-French-Toast-636588
Carrot Banana Bread,breakfast,lacto ovo vegetarian,262.37,7.68,5.41,48.32,3.87,22.72,1.81,259.93,33.49,https://spoonacular.com/recipes/Carrot-Banana-Bread-637171
Simple Broccoli Cheddar Quiche,breakfast,unknown,441.62,23.67,26.57,27.38,2.1,7.51,2.69,927.12,263.13,https://spoonacular.com/recipes/Simple-Broccoli-Cheddar-Quiche-1095851
Healthy Black Forest Baked Oatmeal,breakfast,"gluten free, dairy free",259.51,6.17,8.42,42.23,6.1,18.19,2.12,23.18,0.0,https://spoonacular.com/recipes/Healthy-Black-Forest-Baked-Oatmeal-646442
Berries and Cream Yogurt Parfait,breakfast,"gluten free, lacto ovo vegetarian, primal",410.77,12.78,31.88,22.9,6.71,13.45,1.56,186.13,49.59,https://spoonacular.com/recipes/Berries-and-Cream-Yogurt-Parfait-634848
Spinach Mushroom Omelette with Parmesan,breakfast,"gluten free, primal, ketogenic",237.3,16.54,17.03,5.28,1.46,2.24,2.61,647.63,295.13,https://spoonacular.com/recipes/Spinach-Mushroom-Omelette-with-Parmesan-1697687
Jules' Banana Bread,breakfast,"dairy free, lacto ovo vegetarian",558.92,12.72,30.75,63.71,5.96,7.97,3.95,1289.99,81.84,https://spoonacular.com/recipes/Jules'-Banana-Bread-648632
Asparagus and Asiago Frittata,breakfast,"gluten free, lacto ovo vegetarian, primal, ketogenic",260.57,17.1,19.25,5.92,2.41,2.45,3.66,590.49,232.94,https://spoonacular.com/recipes/Asparagus-and-Asiago-Frittata-632925
Vegan Cacao Crunch Granola,breakfast,"gluten free, dairy free, lacto ovo vegetarian, fodmap friendly, vegan",450.81,8.18,24.57,54.03,5.83,25.22,2.75,5.96,0.0,https://spoonacular.com/recipes/Vegan-Cacao-Crunch-Granola-1095752
Fruity Yogurt Parfait,breakfast,"gluten free, lacto ovo vegetarian, primal",95.33,3.58,2.98,14.94,1.79,12.43,0.24,39.63,10.62,https://spoonacular.com/recipes/Fruity-Yogurt-Parfait-644045
Apple-Currant Granola,breakfast,"gluten free, dairy free, lacto ovo vegetarian",297.03,6.95,10.34,47.43,5.97,20.94,2.13,245.07,0.0,https://spoonacular.com/recipes/Apple-Currant-Granola-1096183
Perfect Granola,breakfast,"gluten free, dairy free, lacto ovo vegetarian, vegan",170.67,4.66,5.56,27.23,3.6,7.96,1.44,17.38,0.0,https://spoonacular.com/recipes/Perfect-Granola-655730
Duck Egg Omelette With Caviar and Sour Cream,breakfast,"gluten free, primal, pescatarian, ketogenic",337.05,18.14,28.01,2.15,0.0,1.34,5.4,273.59,1262.17,https://spoonacular.com/recipes/Duck-Egg-Omelette-With-Caviar-and-Sour-Cream-641700
"Easy Granola with Goji berries, nuts and seeds",breakfast,"gluten free, dairy free, lacto ovo vegetarian, vegan",343.47,7.16,17.43,43.16,5.4,20.49,1.82,40.41,0.0,"https://spoonacular.com/recipes/Easy-Granola-with-Goji-berries,-nuts-and-seeds-1095771"
Poached Eggs On A Bed Of Fried Mushrooms and Country White Bread,breakfast,lacto ovo vegetarian,413.26,19.23,30.04,16.61,1.9,3.51,3.33,530.5,419.95,https://spoonacular.com/recipes/Poached-Eggs-On-A-Bed-Of-Fried-Mushrooms-and-Country-White-Bread-656488
Leek and Mushroom Quiche,breakfast,unknown,453.92,18.31,26.37,37.06,2.29,7.14,3.66,395.2,274.87,https://spoonacular.com/recipes/Leek-and-Mushroom-Quiche-649431
Cinnamon Maple Granola,breakfast,"gluten free, dairy free, lacto ovo vegetarian, fodmap friendly, vegan",291.76,3.97,14.54,38.51,4.26,25.2,1.23,7.44,0.0,https://spoonacular.com/recipes/Cinnamon-Maple-Granola-639463
Chavrie Spinach Quiche,breakfast,unknown,259.64,10.06,18.43,14.06,1.64,2.13,2.01,378.5,110.47,https://spoonacular.com/recipes/Chavrie-Spinach-Quiche-637478
Cheesy Cauliflower Pancakes,breakfast,unknown,475.73,9.46,42.76,17.64,4.95,6.87,1.47,1018.38,114.43,https://spoonacular.com/recipes/Cheesy-Cauliflower-Pancakes-637645
Black Bean Garlic Shrimp Scramble,breakfast,"dairy free, pescatarian, ketogenic",375.62,16.02,30.19,11.86,2.8,2.94,2.6,190.3,334.92,https://spoonacular.com/recipes/Black-Bean-Garlic-Shrimp-Scramble-635067
Carrot Oat Muffins,breakfast,"gluten free, dairy free, lacto ovo vegetarian",89.71,3.11,2.0,15.06,1.68,4.53,0.84,224.18,27.28,https://spoonacular.com/recipes/Carrot-Oat-Muffins-637210
Blueberry Lemon Pancakes,breakfast,lacto ovo vegetarian,456.14,16.46,9.06,77.74,3.89,25.7,4.17,870.22,176.88,https://spoonacular.com/recipes/Blueberry-Lemon-Pancakes-635488
Peach & Brown Sugar Pancakes,breakfast,unknown,473.16,12.32,30.06,40.56,3.66,19.04,1.8,416.11,138.97,https://spoonacular.com/recipes/Peach-&-Brown-Sugar-Pancakes-655060
Delicious Limeade Triple Berry Smoothies,breakfast,gluten free,258.25,7.71,4.35,51.19,7.05,36.1,0.67,191.19,2.5,https://spoonacular.com/recipes/Delicious-Limeade-Triple-Berry-Smoothies-704655
Easy Avocado Egg Quinoa Breakfast Bowl,breakfast,"gluten free, dairy free, lacto ovo vegetarian",326.26,13.67,23.23,20.52,7.45,7.11,2.48,534.81,327.36,https://spoonacular.com/recipes/Easy-Avocado-Egg-Quinoa-Breakfast-Bowl-868800
